AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CalFireIncident,CanonicalUrl,ConditionStatement,ControlStatement,Counties,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Location,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,SearchDescription,SearchKeywords,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,WaterTenders
257314,FALSE,Stanislaus National Forest/Yosemite National Park,,2013,TRUE,/incidents/2013/8/17/rim-fire/,,,Tuolumne,55,,,,2013-09-06T18:30:00Z,,FALSE,TRUE,,,,37.857,3 miles east of Groveland along Hwy 120,-120.086,FALSE,Rim Fire,100,,TRUE,The Rim Fire was east of Groveland along Highway 20.,"Rim Fire, Stanislaus National Forest, Yosemite, Yosemite National Park, Rim Fire, Tuolumne County, Tuolumne, Groveland, Hwy 120, Highway 120",2013-08-17T15:25:00Z,Finalized,,,,,
30274,FALSE,USFS Angeles National Forest/Los Angeles County/CAL FIRE,,2013,TRUE,/incidents/2013/5/30/powerhouse-fire/,,,Los Angeles,19,,,,2013-06-08T18:30:00Z,,FALSE,TRUE,,,,34.585595,Angeles National Forest,-118.423176,FALSE,Powerhouse Fire,100,,TRUE,The Powerhouse Fire burned in May and June 2013 on the Angeles National Forest in Los Angeles County. ,"Powerhouse Fire, May 2013, June 2013, Angeles National Forest, Los Angeles County
267",2013-05-30T15:28:00Z,Finalized,,,,,
27531,FALSE,CAL FIRE Riverside Unit / San Bernardino National Forest,,2013,TRUE,/incidents/2013/7/15/mountain-fire/,,,Riverside,33,,,,2013-07-30T18:00:00Z,,FALSE,TRUE,,,,33.7095,Hwy 243 & Hwy 74 near Mountain Center,-116.72885,FALSE,Mountain Fire,100,,TRUE,The Mountain Fire burned in July 2013 off Highway 243 and Highway 74 near Mountain Center in Riverside County on the San Bernardino National Forest. ,"Mountain Fire, July 2013, Highway 243, Highway 74, Mountain Center, Riverside County, San Bernardino National Forest",2013-07-15T13:43:00Z,Finalized,,,,,
27440,FALSE,Tahoe National Forest,,2013,FALSE,/incidents/2013/8/10/american-fire/,,,Placer,31,,,,2013-08-30T08:00:00Z,,FALSE,TRUE,,,,39.12,"Deadwood Ridge, northeast of Foresthill",-120.65,FALSE,American Fire,100,,TRUE,"The American Fire burned in August 2013 off Deadwood Ridge, northeast of Foresthill on the Tahoe National Forest in Placer County. ","American Fire, August 2013, Deadwood Ridge, Foresthill, Tahoe National Forest, Placer County",2013-08-10T16:30:00Z,Finalized,,,,,
24251,FALSE,Ventura County Fire/CAL FIRE,,2013,TRUE,/incidents/2013/5/2/springs-fire/,"Acreage has been reduced based upon more accurate mapping. 
<p>Continue to mop up in areas very visible to public. Continue demobilization, fire damage inspections, and suppression repair.  <p>
                                     
 



",,Ventura,56,47,8,117,2013-05-11T06:30:00Z,,FALSE,TRUE,,11,10,0,"Southbound Highway 101 at Camarillo Springs Road, Camarillo",0,TRUE,Springs Fire,100,2167,TRUE,"The Springs Fire burned in May 2013, Southbound Highway 101 at Camarillo Springs Road, Camarillo, in Ventura County. ","Springs Fire, May 2013, Highway 101, Camarillo Springs, Ventura County",2013-05-02T07:01:00Z,Finalized,6,10,,,11
22992,FALSE,Sierra National Forest,,2013,FALSE,/incidents/2013/7/22/aspen-fire/,,,Fresno,10,,,,2013-09-24T20:15:00Z,,FALSE,TRUE,,,,37.279,Seven miles north of Big Creek,-119.318,FALSE,Aspen Fire,100,,TRUE,The Aspen Fire burned in July 2013 seven miles north of Big Creek on the Sierra National Forest in Fresno County.,"217  Aspen Fire, July 2013, Big Creek, Fresno County, Sierra National Forest",2013-07-22T22:15:00Z,Finalized,,,,,
20292,FALSE,CAL FIRE Riverside Unit / San Bernardino National Forest,,2013,TRUE,/incidents/2013/8/7/silver-fire/,"Firefighters closed the containment lines today. Large scale demobilization of incident resources continues.
Command of the incident will be turned over to Riverside County effective Tuesday August 8th. Silent Valley RV Club remains
closed. For questions regarding the closure, please the Silent Valley RV Club.",Hwy 243 remains closed between Twin Pines Road and Westley Street in Banning due to road damage.,Riverside,33,63,20,201,2013-08-12T18:00:00Z,,FALSE,TRUE,,20,26,33.86157,"Poppet Flats Rd near Hwy 243, south of Banning",-116.90427,TRUE,Silver Fire,100,2106,TRUE,"The Silver Fire burned in August 2013 off Poppet Flats Rd near Hwy 243, south of Banning in Riverside County. ","Silver Fire, August 2013, Popet Flats Road, Highway 243, Banning, Riverside County",2013-08-07T14:05:00Z,Finalized,8,40,,,20
14754,FALSE,Klamath National Forest,,2013,FALSE,/incidents/2013/7/31/salmon-river-complex/,,,Siskiyou,47,,,,2013-08-31T06:45:00Z,,FALSE,TRUE,,,,41.32,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",-123.176,FALSE,Salmon River Complex,100,,TRUE,"The Salmon River Complex burned in July and August 2013 near North Fork of the Salmon River, West of Sawyers Bar, on Klamath National Forest in Siskiyou County. ","210 Salmon River Complex, August 2013, July 2013, North Fork of the Salmon River, Sawyers Bar, Klamath National Forest, Siskiyou County",2013-07-31T22:00:00Z,Finalized,,,,,
12503,FALSE,Six Rivers National Forest,,2013,FALSE,/incidents/2013/8/10/corral-complex/,,,Humboldt,12,,,,2013-08-12T12:00:00Z,,FALSE,TRUE,,,,41.035,Tish Tang Ridge east of Hoopa Valley Reservation,-123.488,FALSE,Corral Complex,100,,TRUE,The Corral Complex burned in August 2013 off Tish Tang Ridge east of Hoopa Valley Reservation on the Six Rivers National Forest in Humboldt County. ,"Corral Complex, August 2013, Tish Tang Ridge, Hoopa Valley Reservation, Six River National Forest, Humboldt County",2013-08-10T11:40:00Z,Finalized,,,,,
11429,FALSE,CAL FIRE Tehama-Glenn Unit,,2013,TRUE,/incidents/2013/8/23/deer-fire/,"Fire suppression repair will continue throughout the weekend. Fireline personnel will continue mopping up the interior of the fire area until fully controlled. All hiking trails within the Ishi Wilderness are temporarily closed, but are scheduled to be reopened to the public this Saturday, August 31, 2013.",,Tehama,52,30,3,36,2013-08-29T16:45:00Z,,FALSE,TRUE,,5,5,40.04263,"Near Deer Creek, 12 miles east of Los Molinos. ",-121.85397,TRUE,Deer Fire,100,898,TRUE,"The Deer Fire burned in August near Deer Creek, 12 miles east of Los Molinos in Tehama County. ","Deer Fire, August 2013, Tehama County, Deer Creek, Los Molinos",2013-08-23T14:15:00Z,Finalized,,,,,8
